codigo,materia,creditos,correlativas,categoria,nivel
CBC,Ciclo Básico Común,0,,CBC,0
82.01,Física I,8,CBC,Materias Obligatorias,1
81.01,Análisis Matemático II,8,CBC,Materias Obligatorias,1
84.01,Introducción a la Ingeniería Civil,2,CBC,Materias Obligatorias,1
87.11,Medios de Representación A,6,CBC,Materias Obligatorias,1
82.02,Física II,8,81.01-82.01,Materias Obligatorias,2
84.02,Estabilidad I,6,81.01-82.01,Materias Obligatorias,2
81.02,Álgebra II,8,CBC,Materias Obligatorias,2
81.03,Probabilidad y Estadística A,4,81.01-84.01,Materias Obligatorias,2
83.01,Química,6,CBC,Materias Obligatorias,3
84.03,Estabilidad II,8,81.02-84.01-84.02,Materias Obligatorias,3
89.01,Hidráulica General,6,81.01-82.01,Materias Obligatorias,3
84.11,Seguridad estructural,2,81.03-84.02,Materias Obligatorias,3
88.09,Análisis de sistemas de transporte,4,81.03,Materias Obligatorias,3
84.04,Comportamiento de Materiales,8,83.01-84.03,Materias Obligatorias,4
84.06,Estabilidad III,8,84.03,Materias Obligatorias,4
95.10,Modelación numérica,6,81.01-84.03,Materias Obligatorias,4
91.09,Economía,4,84.01,Materias Obligatorias,4
94.01,Hormigón I,8,84.04-84.06,Materias Obligatorias,5
94.03,Construcciones,6,82.02-84.04-91.09,Materias Obligatorias,5
84.07,Mecánica de Suelos y Geología,8,84.03-89.01,Materias Obligatorias,5
89.09,Hidráulica Aplicada,4,89.01,Materias Obligatorias,5
94.10,Estructuras Metálicas I,6,84.04-84.06-94.01,Materias Obligatorias,6
94.12,Tecnología del Hormigón,4,84.04,Materias Obligatorias,6
94.09,Geotecnia Aplicada,4,84.07-94.01,Materias Obligatorias,6
89.05,Hidrología,4,84.07-84.11-89.01-95.10,Materias Obligatorias,6
90.01,Topografía y Geodesia,4,81.03-82.01-87.11,Materias Obligatorias,6
94.04,Hormigón II,8,94.01-94.12,Materias Obligatorias,7
88.10,Caminos,4,88.09-84.07-94.01,Materias Obligatorias,7
89.10,Aprovechamientos hidráulicos,4,89.05-89.09-94.09,Materias Obligatorias,7
89.11,Ingeniería Sanitaria I,4,89.05-89.09,Materias Obligatorias,7
88.11,Aeropuertos A,2,84.07-88.09-94.01,Materias Obligatorias,8
88.12,Ferrocarriles A,2,84.07-88.09-94.01,Materias Obligatorias,8
94.05,Instalaciones en Obras Civiles I,6,89.11-94.03,Materias Obligatorias,8
88.13,Puertos y Vías Navegables A,4,84.07-88.09-94.01,Materias Obligatorias,8
