codigo,materia,creditos,correlativas,categoria,nivel
CBC,Ciclo Básico Común,0,,CBC,0
82.01,Física I A,8,CBC,Materias Obligatorias,1
81.01,Análisis Matemático II A,8,CBC,Materias Obligatorias,1
95.11,Algoritmos y Programación I,6,CBC,Materias Obligatorias,1
86.70,Introducción al Diseño Asistido por Computadora para Electrónica,4,82.01,Materias Obligatorias,2
82.02,Física II A,8,81.01-82.01,Materias Obligatorias,2
86.02,Introducción a la Ingeniería Electrónica,6,82.01,Materias Obligatorias,2
81.02,Álgebra II A,8,CBC,Materias Obligatorias,2
81.05,Análisis Matemático III A,6,81.01-81.02,Materias Obligatorias,3
81.04,Probabilidad y Estadística B,6,81.01-81.02,Materias Obligatorias,3
86.01,Técnica Digital,6,86.02,Materias Obligatorias,3
83.01,Química,6,CBC,Materias Obligatorias,3
95.04,Análisis Numérico ,6,81.01-81.02-95.11,Materias Obligatorias,4
86.04,Análisis de Circuitos ,6,86.02-81.05-82.02,Materias Obligatorias,4
82.06,Electromagnetismo,6,82.02-81.05,Materias Obligatorias,4
86.03,Dispositivos Semiconductores,6,82.02-86.02,Materias Obligatorias,4
82.03,Física III,6,82.02,Materias Obligatorias,5
86.05,Señales y Sistemas,6,86.04-81.04,Materias Obligatorias,5
86.06,Circuitos Electrónicos ,6,86.03-86.04,Materias Obligatorias,5
91.19,Introducción a la Economía y Organización de la Empresa (48 créditos),4,CRED48-CBC,Materias Obligatorias,5
86.08,Control Automático I,6,86.05,Materias Obligatorias,6
86.07,Laboratorio de Microprocesadores ,6,86.01-86.03-86.04-95.11,Materias Obligatorias,6
86.09,Procesos Estocásticos ,6,86.05-81.04,Materias Obligatorias,6
86.12,Comunicación de Datos,6,86.05,Materias Obligatorias,7
86.10,Diseño de Circuitos Electrónicos,6,86.06-86.07-86.70,Materias Obligatorias,7
86.13,Instrumentos y Mediciones Electrónicas,6,82.06-86.06-86.07,Materias Obligatorias,7
86.14,Introducción a Proyectos,4,86.10,Materias Obligatorias,8
97.04,Seguridad Ambiental y del Trabajo (90 créditos),4,CRED90-CBC,Materias Obligatorias,8
91.11,Legislación y Ejercicio Profesional de la Ingeniería Electrónica (90 créditos),4,CRED90-CBC,Materias Obligatorias,8
86.40,Laboratorio de Redes de Computadoras,6,86.39,Orientación: Multiples Orientaciones,10
86.35,Video Digital,6,86.09,Orientación: Multiples Orientaciones,10
81.07,Análisis Funcional,6,81.05,Orientación: Procesamiento de Señales,9
81.08,Análisis Matricial y Métodos Numéricos,6,81.05-95.04,Orientación: Procesamiento de Señales,9
82.04,Mecánica Racional,4,81.05-82.01,Orientación: Automatización y Control,9
82.05,Física del Estado Sólido,6,82.03,Orientación: Física Electrónica,9
86.15,Robótica,6,82.04-86.08,Orientación: Automatización y Control,10
