codigo,materia,creditos,correlativas,categoria,nivel
CBC,Ciclo Básico Común,0,,CBC,0
81.01,Análisis Matemático II,8,CBC,Materias Obligatorias,1
82.01,Física I,8,CBC,Materias Obligatorias,1
92.03,Introducción a la Ingeniería Industrial,2,CBC,Materias Obligatorias,1
83.01,Química,6,CBC,Materias Obligatorias,1
81.02,Álgebra II,8,CBC,Materias Obligatorias,2
82.02,Física II,8,81.01-82.01,Materias Obligatorias,2
95.01,Computación,4,CBC,Materias Obligatorias,2
83.02,Química Aplicada,6,83.01,Materias Obligatorias,2
85.38,Electrotecnia General,6,81.02-82.02,Materias Obligatorias,3
81.16,Probabilidad,6,81.01-95.01,Materias Obligatorias,3
87.13,Medios de Reperesentación,4,CBC,Materias Obligatorias,3
84.05,Estática y Resistencia de Materiales,6,81.01-82.01,Materias Obligatorias,3
95.13,Métodos Matemáticos y Numéricos,6,81.01-81.02-95.01,Materias Obligatorias,4
87.14,Termodinámica,4,82.02,Materias Obligatorias,4
87.12,Mecanismos,4,84.05-87.13,Materias Obligatorias,4
91.33,Microeconomía Aplicada,4,CRED50-CBC,Materias Obligatorias,4
92.01,Materiales Industriales I,6,83.02-84.05,Materias Obligatorias,4
91.03,Estadística Aplicada I,4,81.16,Materias Obligatorias,5
91.10,Organización Industrial I,4,81.16-92.03,Materias Obligatorias,5
89.17,Mecánica de los Fluidos,6,81.01-82.01,Materias Obligatorias,5
91.24,Macroeconomía y Estructura Económica,6,91.33,Materias Obligatorias,5
97.01,Higiene y Seguridad Industrial,4,CRED80-CBC,Materias Obligatorias,5
91.30,Estadística Aplicada II,4,91.03,Materias Obligatorias,6
87.17,Máquinas Térmicas,4,87.14,Materias Obligatorias,6
91.12,Organización Industrial II,4,91.10,Materias Obligatorias,6
92.02,Industrias I,6,87.14-89.17-92.01,Materias Obligatorias,6
97.05,Gestion Ambiental,4,97.01,Materias Obligatorias,6
91.07,Investigación Operativa I,4,91.03-91.12,Materias Obligatorias,7
92.18,Industrias II,6,87.14-89.17-92.01,Materias Obligatorias,7
92.04,Procesos de Manufactura I,4,87.12-92.01,Materias Obligatorias,7
92.05,Edificios Industriales,4,87.13-91.10-92.01-97.01,Materias Obligatorias,7
92.06,Automatización Industrial y Robótica,4,85.38-95.13,Materias Obligatorias,8
91.31,Investigación Operativa II,4,91.01-91.30,Materias Obligatorias,8
92.07,Instalaciones Industriales,6,85.38-87.17-91.12-92.18,Materias Obligatorias,8
91.28,Gestión de Costos,4,91.12-91.24,Materias Obligatorias,8
91.08,Organización Industrial III,6,91.12,Materias Obligatorias,9
91.29,Ingenería Económica A,4,91.28,Materias Obligatorias,9
92.19,Procesos de Manufactura II,4,92.04,Materias Obligatorias,9
91.22,Ingenería Legal para Ingenería Industrial,4,CRED100-CBC,Materias Obligatorias,9
62.13,Física III C,6,81.02-82.02-83.01,Materias Electivas,10
85.20,Energías Renovables,4,85.38-87.14,Materias Electivas,10
87.15,Taller A,4,87.13-92.01,Materias Electivas,10
91.14,Informática para la Gestión de Empresas,4,91.08,Materias Electivas,11
91.17,Recursos Humanos,4,91.12,Materias Electivas,10
91.20,Comercialización,4,91.12-91.24,Materias Electivas,10
91.21,Conflicto y Negociación,4,91.12,Materias Electivas,10
91.25,Estadística Aplicada III,4,91.30,Materias Electivas,11
91.26,Dirección de Manufactura,4,91.12,Materias Electivas,11
91.27,Logística,4,91.31,Materias Electivas,12
91.32,Investigación Operativa III,4,91.31,Materias Electivas,12
91.34,Gestión Financiera,4,91.29,Materias Electivas,11
91.35,Análisis de Casos,4,91.12,Materias Electivas,10
91.36,Gestión de la Calidad,4,91.12,Materias Electivas,10
91.37,Emprendimientos de Ingeniería,4,CRED120-CBC,Materias Electivas,13
91.51,Desarrollo y Gestión de Proyectos,4,91.31-91.08,Materias Electivas,11
91.52,Gestión de la Innovación,4,CRED150-CBC,Materias Electivas,12
91.54,Ciencia de Datos para la Toma de Decisiones,4,81.02-91.30,Materias Electivas,11
92.08,Diseño de Productos,4,91.12-92.01,Materias Electivas,11
92.09,Industrias Plásticas,4,92.18,Materias Electivas,12
92.10,Industrias de Celulosa y Papel,4,92.18,Materias Electivas,12
92.11,Industrias Petroquímicas,4,92.18,Materias Electivas,12
92.12,Industrias Textiles,4,91.12-92.01,Materias Electivas,11
92.13,Materiales Industriales II,4,92.01,Materias Electivas,10
92.15,Industrias de la Alimentación,4,92.18,Materias Electivas,13
92.17,Industrias Petrolíferas,4,92.18,Materias Electivas,13
92.20,Industria Automotriz,4,91.12-92.04,Materias Electivas,12
92.14,Seminario de Ingeniería Industrial I,1,CRED150-CBC,Materias Electivas,13
92.16,Seminario de Ingeniería Industrial II,2,CRED150-CBC,Materias Electivas,13
92.21,Seminario de Ingeniería Industrial III,3,CRED150-CBC,Materias Electivas,13
92.24,Ingeniería y Desarrollo de Envaes y Embalajes,4,CRED150-CBC,Materias Electivas,13
92.26,Seminario de Ingeniería Industrial IV,4,CRED150-CBC,Materias Electivas,13
