codigo,materia,creditos,correlativas,grupo,nivel,caveat
CBC,Ciclo Básico Común,0,,CBC,0,
61.03,Análisis Matemático II A,8,CBC,Materias Obligatorias,1,
62.01,Física I A,8,CBC,Materias Obligatorias,1,
75.40,Algoritmos y Programación I,6,CBC,Materias Obligatorias,1,
61.08,Álgebra II A,8,CBC,Materias Obligatorias,2,
62.03,Física II A,8,61.03-62.01,Materias Obligatorias,2,
63.01,Química,6,CBC,Materias Obligatorias,2,
75.41,Algoritmos y Programación II,6,75.40,Materias Obligatorias,2,
62.15,Física III D,4,61.08-62.03-63.01,Materias Obligatorias,3,
66.02,Laboratorio,6,62.03,Materias Obligatorias,3,
66.70,Estructura del Computador,6,61.08-62.03-75.41,Materias Obligatorias,3,
75.07,Algoritmos y Programación III,6,75.41,Materias Obligatorias,3,
75.12,Análisis Numérico I,6,61.03-61.08-75.41,Materias Obligatorias,3,
61.09,Probabilidad y Estadística B,6,61.03-61.08,Materias Obligatorias,4,
61.10,Análisis Matemático III A,6,61.03-61.08,Materias Obligatorias,4,
66.20,Organización de Computadoras,6,66.02-66.70,Materias Obligatorias,4,
75.06,Organización de Datos,6,66.70-75.41,Materias Obligatorias,4,
75.42,Taller de Programación I,4,66.70-75.12-75.41,Materias Obligatorias,4,
71.12,Estructura de las Organizaciones,6,75.06,Materias Obligatorias,5,
71.14,Modelos y Optimización I,6,61.10-62.03-63.01-75.42,Materias Obligatorias,5,
75.08,Sistemas Operativos,6,75.06,Materias Obligatorias,5,
75.09,Análisis de la Información,6,75.07-75.42,Materias Obligatorias,5,
75.10,Técnicas de Diseño,6,75.08-75.09,Materias Obligatorias,6,
75.15,Base de Datos,6,75.06-75.09,Materias Obligatorias,6,
75.43,Introducción a los Sistemas Distribuidos,6,66.20-62.15-75.08,Materias Obligatorias,6,
75.52,Taller de Programación II,4,71.14-75.07-75.42,Materias Obligatorias,6,
71.13,Información en las Organizaciones,6,71.12,Orientación: Gestion Industrial de Sistemas,8,
75.44,Administración y Control de Proyectos Informáticos I,6,71.12-75.10,Orientación: Gestion Industrial de Sistemas,8,
75.45,Taller de Desarrollo de Proyectos I,6,75.10,Orientación: Gestion Industrial de Sistemas,8,
75.46,Administración y Control de Proyectos Informáticos II,6,75.44,Orientación: Gestion Industrial de Sistemas,9,
75.47,Taller de Desarrollo de Proyectos II,6,75.44-75.45,Orientación: Gestion Industrial de Sistemas,9,
75.48,Calidad en Desarrollo de Sistemas,4,75.45,Orientación: Gestion Industrial de Sistemas,9,
66.06,Análisis de Circuitos,10,61.10-62.03,Orientación: Sistemas Distribuidos,8,
75.59,Técnicas de Programación Concurrente I,6,75. 08,Orientación: Sistemas Distribuidos,8,
66.74,Señales y Sistemas,6,61.09-66.06,Orientación: Sistemas Distribuidos,9,
75.74,Sistemas Distribuidos I,6,61.10-75.43-75.59,Orientación: Sistemas Distribuidos,9,
75.61,Taller de Programación III,6,66.74-75.74,Orientación: Sistemas Distribuidos,9,
64.05,Estática y Resistencia de Materiales B,6,61.03-61.08,Orientación: Sistemas de Producción,8,
75.65,Manufactura Integrada por Computadora (CIM) I,6,75.15-75.52,Orientación: Sistemas de Producción,8,
75.67,Sistemas Automáticos de Diagnóstico y Detección Fallas I,6,71.14,Orientación: Sistemas de Producción,8,
72.01,Materiales Industriales I,6,63.01-64.05,Orientación: Sistemas de Producción,9,
75.66,Manufactura Integrada por Computadora (CIM) II,6,75.65,Orientación: Sistemas de Producción,9,
75.68,Sistemas de Soporte para Celdas Producción Flexible,4,75.65-75.67,Orientación: Sistemas de Producción,9,
61.07,Matemática Discreta,6,CBC,Materias Electivas,7,
